POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
96,1782.8831,4862.7049,3261.6578,0.0,0.0,0.0,-4822.385,-19953.2799,2128.1347,22963.0579,-2663.7414,121.4977,0.0,10222.7735,-2542.2437,7680.529799999999
97,1879.1716,4857.3447,3215.0136,0.0,0.0,0.0,-4773.1216,-19885.3248,2086.8368,22975.1845,-2716.4784,123.0045,0.0,10355.104800000001,-2593.4739,7761.630900000001
98,1828.9982,4793.3476,3221.4685,0.0,0.0,0.0,-4830.7069,-19933.3653,2089.1123,22917.1637,-2660.719,123.2844,0.0,10086.018100000001,-2537.4346,7548.583500000001
99,1823.4435,4817.2595,3252.5251,0.0,0.0,0.0,-4772.0543,-19897.4073,2086.6108,22972.1507,-2708.6642,122.4279,0.0,10282.528,-2586.2363,7696.2917
100,1743.0888,4882.2655,3262.8956,0.0,0.0,0.0,-4822.0557,-19941.0894,2093.9089,22939.8907,-2623.1477,121.7593,0.0,10158.904400000001,-2501.3884,7657.516000000001
101,1813.9818,4783.6076,3241.8198,0.0,0.0,0.0,-4792.0715,-19934.2885,2103.5566,22884.7974,-2647.489,122.3053,0.0,10101.403200000002,-2525.1837,7576.219500000003
102,1799.2389,4805.3736,3239.233,0.0,0.0,0.0,-4792.0092,-19955.4071,2104.8923,22963.9916,-2597.3594,122.1844,0.0,10165.3131,-2475.1749999999997,7690.1381
103,1745.8499,4842.7911,3239.038,0.0,0.0,0.0,-4795.2279,-19931.2556,2098.7791,22973.2896,-2657.7087,122.5998,0.0,10173.2642,-2535.1089,7638.155299999999
104,1722.6014,4773.0915,3190.5084,0.0,0.0,0.0,-4803.5407,-19907.9278,2074.1701,22952.6173,-2659.3404,121.2379,0.0,10001.5202,-2538.1025,7463.417700000001
105,1879.1824,4794.1569,3213.6252,0.0,0.0,0.0,-4794.3381,-19910.2193,2089.2648,22820.2546,-2631.8733,121.3015,0.0,10091.926500000001,-2510.5718,7581.354700000001
106,1825.74,4732.8597,3211.1673,0.0,0.0,0.0,-4761.3763,-19990.6671,2080.3682,22984.6447,-2620.6176,121.3534,0.0,10082.736500000003,-2499.2642,7583.472300000003
107,1776.5679,4754.1051,3217.7222,0.0,0.0,0.0,-4860.1526,-19869.5547,2109.3646,22919.938,-2685.179,120.3979,0.0,10047.990499999996,-2564.7811,7483.209399999996
